seconds,data1,data2,data3,data4,data5,data6,data7,data8,data9
14.66,1679.824133,1505.715681,1505.715681,1505.715681,1505.715681,1505.715681,21.18,19.34,16.99
14.662,1699.169516,2127.992184,2127.992184,2127.992184,2127.992184,2127.992184,21.18,19.34,16.99
14.664,1689.496825,1683.048363,1683.048363,1683.048363,1683.048363,1683.048363,21.18,19.34,16.99
14.666,1637.909135,1441.23107,1441.23107,1441.23107,1441.23107,1441.23107,26.91,19.04,17.58
14.668,1599.218368,1541.182218,1541.182218,1541.182218,1541.182218,1541.182218,26.91,19.04,17.58
14.67,1602.442599,1750.757206,1750.757206,1750.757206,1750.757206,1750.757206,26.91,19.04,17.58
14.672,1621.787982,2502.002931,2502.002931,2502.002931,2502.002931,2502.002931,26.91,19.04,17.58
14.674,1644.357596,2485.881778,2485.881778,2485.881778,2485.881778,2485.881778,26.91,19.04,17.58
14.676,1660.478749,1057.547631,1057.547631,1057.547631,1057.547631,1057.547631,26.91,19.04,17.58
14.678,1647.581827,1360.625305,1360.625305,1360.625305,1360.625305,1360.625305,26.91,19.04,17.58
14.68,1631.460674,2244.064485,2244.064485,2244.064485,2244.064485,2244.064485,26.91,19.04,17.58
14.682,1628.236444,1402.540303,1402.540303,1402.540303,1402.540303,1402.540303,26.91,19.04,17.58
14.684,1657.254519,744.7972643,744.7972643,744.7972643,744.7972643,744.7972643,26.91,19.04,17.58
14.686,1689.496825,1270.346849,1270.346849,1270.346849,1270.346849,1270.346849,26.91,19.04,17.58
14.688,1666.927211,1712.066439,1712.066439,1712.066439,1712.066439,1712.066439,26.91,19.04,17.58
14.69,1634.684905,1863.605276,1863.605276,1863.605276,1863.605276,1863.605276,26.91,19.04,17.58
14.692,1647.581827,1470.249145,1470.249145,1470.249145,1470.249145,1470.249145,0,0,0
14.694,1650.806058,1318.710308,1318.710308,1318.710308,1318.710308,1318.710308,0,0,0
14.696,1663.70298,1367.073766,1367.073766,1367.073766,1367.073766,1367.073766,0,0,0
14.698,1670.151441,1537.957987,1537.957987,1537.957987,1537.957987,1537.957987,0,0,0
14.7,1663.70298,2215.046409,2215.046409,2215.046409,2215.046409,2215.046409,0,0,0
14.702,1654.030288,2701.905227,2701.905227,2701.905227,2701.905227,2701.905227,0,0,0
14.704,1650.806058,2227.943332,2227.943332,2227.943332,2227.943332,2227.943332,0,0,0
14.706,1650.806058,1254.225696,1254.225696,1254.225696,1254.225696,1254.225696,0,0,0
14.708,1657.254519,1093.014167,1093.014167,1093.014167,1093.014167,1093.014167,0,0,0
14.71,1637.909135,1354.176844,1354.176844,1354.176844,1354.176844,1354.176844,0,0,0
14.712,1641.133366,1957.107963,1957.107963,1957.107963,1957.107963,1957.107963,0,0,0
14.714,1608.89106,2127.992184,2127.992184,2127.992184,2127.992184,2127.992184,0,0,0
14.716,1621.787982,1408.988764,1408.988764,1408.988764,1408.988764,1408.988764,0,0,0
14.718,1657.254519,1199.413776,1199.413776,1199.413776,1199.413776,1199.413776,29.12,19.63,18.75
14.72,1657.254519,1476.697606,1476.697606,1476.697606,1476.697606,1476.697606,29.12,19.63,18.75
14.722,1644.357596,1924.865657,1924.865657,1924.865657,1924.865657,1924.865657,29.12,19.63,18.75
14.724,1647.581827,2044.162189,2044.162189,2044.162189,2044.162189,2044.162189,29.12,19.63,18.75
14.726,1673.375672,1957.107963,1957.107963,1957.107963,1957.107963,1957.107963,29.12,19.63,18.75
14.728,1679.824133,2118.319492,2118.319492,2118.319492,2118.319492,2118.319492,29.12,19.63,18.75
14.73,1650.806058,1612.115291,1612.115291,1612.115291,1612.115291,1612.115291,29.12,19.63,18.75
14.732,1657.254519,744.7972643,744.7972643,744.7972643,744.7972643,744.7972643,29.12,19.63,18.75
14.734,1663.70298,831.85149,831.85149,831.85149,831.85149,831.85149,29.12,19.63,18.75
14.736,1692.721055,1260.674157,1260.674157,1260.674157,1260.674157,1260.674157,29.12,19.63,18.75
14.738,1679.824133,1734.636053,1734.636053,1734.636053,1734.636053,1734.636053,29.12,19.63,18.75
14.74,1660.478749,1876.502198,1876.502198,1876.502198,1876.502198,1876.502198,29.12,19.63,18.75
14.742,1634.684905,1857.156815,1857.156815,1857.156815,1857.156815,1857.156815,29.12,19.63,18.75
14.744,1605.66683,1940.98681,1940.98681,1940.98681,1940.98681,1940.98681,30.88,20.8,19.34
14.746,1615.339521,2024.816805,2024.816805,2024.816805,2024.816805,2024.816805,30.88,20.8,19.34
14.748,1634.684905,1686.272594,1686.272594,1686.272594,1686.272594,1686.272594,30.88,20.8,19.34
14.75,1644.357596,1763.654128,1763.654128,1763.654128,1763.654128,1763.654128,30.88,20.8,19.34
14.752,1666.927211,1753.981436,1753.981436,1753.981436,1753.981436,1753.981436,30.88,20.8,19.34
14.754,1676.599902,1666.927211,1666.927211,1666.927211,1666.927211,1666.927211,30.88,20.8,19.34
14.756,1663.70298,1038.202247,1038.202247,1038.202247,1038.202247,1038.202247,0,0,0
14.758,1663.70298,989.8387885,989.8387885,989.8387885,989.8387885,989.8387885,0,0,0
14.76,1673.375672,1812.017587,1812.017587,1812.017587,1812.017587,1812.017587,0,0,0
14.762,1650.806058,2111.871031,2111.871031,2111.871031,2111.871031,2111.871031,0,0,0
14.764,1621.787982,1776.55105,1776.55105,1776.55105,1776.55105,1776.55105,0,0,0
14.766,1612.115291,1828.13874,1828.13874,1828.13874,1828.13874,1828.13874,0,0,0
